time,control_type,position_x,position_y,position_z,desired_position_x,desired_position_y,desired_position_z,position_error_norm,orientation_error_deg,control_effort,oscillation_index
5,open_loop,0.312531,0.00837646,0.587892,0.5,-0.1,0.300003,0.360237,2.8182,36.0371,0
5.001,open_loop,0.312528,0.00837238,0.587889,0.5,-0.1,0.300003,0.360235,2.80967,36.0368,1.94088
5.002,open_loop,0.312528,0.00836914,0.587889,0.5,-0.1,0.300003,0.360234,2.79344,36.0366,1.74724
5.003,open_loop,0.312525,0.0083489,0.587881,0.5,-0.1,0.300003,0.360223,2.7733,36.0353,1.41763
5.004,open_loop,0.312524,0.00832656,0.587875,0.5,-0.1,0.300003,0.360211,2.74846,36.0339,1.41664
5.005,open_loop,0.312522,0.00829228,0.587859,0.5,-0.1,0.300003,0.36019,2.7214,36.0315,1.41683
5.006,open_loop,0.312523,0.00826161,0.587847,0.5,-0.1,0.300003,0.36017,2.69123,36.0292,1.41708
5.007,open_loop,0.312522,0.00821621,0.587825,0.5,-0.1,0.300003,0.360139,2.66097,36.0259,1.41802
5.008,open_loop,0.312525,0.00817464,0.587807,0.5,-0.1,0.300003,0.360111,2.62866,36.0228,1.41464
5.009,open_loop,0.312526,0.00812254,0.587778,0.5,-0.1,0.300003,0.360072,2.59679,36.0186,1.41636
5.01,open_loop,0.312533,0.00807661,0.587753,0.5,-0.1,0.300003,0.360034,2.56384,36.0145,1.4157
5.011,open_loop,0.312541,0.00801683,0.587716,0.499999,-0.1,0.300003,0.359982,2.5325,36.0091,1.42049
5.012,open_loop,0.312554,0.00796115,0.58768,0.499999,-0.1,0.300003,0.35993,2.50036,36.0036,1.41561
5.013,open_loop,0.312569,0.00789509,0.587631,0.499999,-0.1,0.300003,0.359863,2.46955,35.9966,0.947844
5.014,open_loop,0.312592,0.00783431,0.587582,0.499999,-0.1,0.300003,0.359793,2.43826,35.9894,0.0639963
5.015,open_loop,0.312617,0.00775899,0.587521,0.499998,-0.1,0.300003,0.359709,2.40888,35.9808,0.174107
5.016,open_loop,0.312645,0.00768773,0.58746,0.499998,-0.1,0.300003,0.359624,2.37877,35.972,0.0660007
5.017,open_loop,0.312674,0.00760655,0.587388,0.499998,-0.1,0.300003,0.359527,2.35002,35.962,0.128851
5.018,open_loop,0.312709,0.0075315,0.587316,0.499997,-0.1,0.300003,0.359428,2.3209,35.952,0.0699265
5.019,open_loop,0.312743,0.00744297,0.587232,0.499997,-0.1,0.300003,0.359317,2.29388,35.9406,0.15504
5.02,open_loop,0.312782,0.00735885,0.587148,0.499996,-0.1,0.300003,0.359204,2.26648,35.9291,0.0486948
5.021,open_loop,0.312821,0.00726571,0.587052,0.499996,-0.1,0.300003,0.359079,2.24074,35.9164,0.117253
5.022,open_loop,0.312866,0.00717912,0.586956,0.499995,-0.1,0.300003,0.358952,2.21499,35.9035,0.0785919
5.023,open_loop,0.312911,0.00707963,0.586846,0.499994,-0.1,0.300003,0.358811,2.19165,35.8893,0.14545
5.024,open_loop,0.31296,0.0069845,0.586736,0.499994,-0.1,0.300003,0.358669,2.16827,35.8749,0.0450236
5.025,open_loop,0.313008,0.00688072,0.586613,0.499993,-0.1,0.300003,0.358514,2.1468,35.8592,0.109258
5.026,open_loop,0.313062,0.00678365,0.586489,0.499992,-0.1,0.300003,0.358357,2.12556,35.8434,0.0805372
5.027,open_loop,0.313115,0.00667392,0.586353,0.499991,-0.1,0.300003,0.358188,2.10693,35.8263,0.139609
5.028,open_loop,0.313171,0.00656888,0.586216,0.49999,-0.1,0.300003,0.358017,2.08843,35.8092,0.0393728
5.029,open_loop,0.313225,0.00645565,0.586066,0.499989,-0.1,0.300003,0.357835,2.07197,35.7908,0.101709
5.03,open_loop,0.313285,0.0063495,0.585916,0.499987,-0.1,0.300003,0.357651,2.05593,35.7723,0.0863833
5.031,open_loop,0.313343,0.00623119,0.585753,0.499986,-0.1,0.300003,0.357454,2.04258,35.7526,0.131639
5.032,open_loop,0.313405,0.00611778,0.585588,0.499985,-0.1,0.300003,0.357257,2.02951,35.7327,0.0370049
5.033,open_loop,0.313465,0.00599658,0.585411,0.499983,-0.1,0.300003,0.357047,2.01854,35.7116,0.0965117
5.034,open_loop,0.313529,0.00588274,0.585233,0.499982,-0.1,0.300003,0.356836,2.00806,35.6905,0.0914813
5.035,open_loop,0.313593,0.00575703,0.585042,0.49998,-0.1,0.300003,0.356612,2.00028,35.6681,0.126604
5.036,open_loop,0.313658,0.00563644,0.58485,0.499978,-0.1,0.300003,0.356388,1.99278,35.6455,0.0362076
5.037,open_loop,0.313722,0.00550836,0.584644,0.499976,-0.1,0.300003,0.356151,1.98732,35.6219,0.0932771
5.038,open_loop,0.313791,0.00538786,0.584438,0.499975,-0.1,0.300003,0.355914,1.98233,35.5981,0.0954863
5.039,open_loop,0.313857,0.00525577,0.584219,0.499972,-0.1,0.300003,0.355664,1.97991,35.5731,0.122862
5.04,open_loop,0.313926,0.00512901,0.583999,0.49997,-0.1,0.300003,0.355413,1.9777,35.548,0.0363544
5.041,open_loop,0.313992,0.00499503,0.583766,0.499968,-0.1,0.300003,0.355151,1.97736,35.5218,0.0916435
5.042,open_loop,0.314064,0.00486885,0.583531,0.499966,-0.1,0.300003,0.354888,1.9774,35.4955,0.0996733
5.043,open_loop,0.314132,0.00473132,0.583284,0.499963,-0.1,0.300003,0.354613,1.97981,35.468,0.120074
5.044,open_loop,0.314203,0.00459928,0.583036,0.49996,-0.1,0.300003,0.354337,1.9823,35.4404,0.0379297
