# Experiment start time: 0.082000 seconds
# Local time: 20250609_150436
# Control phase description: 0=CALIBRATION, 1=APPROACH, 2=CONTACT_CONFIRMATION, 3=DEPTH_CONTROL, 4=TRAJECTORY
# Soft block physical properties: Young's modulus=300000.000000Pa, Poisson ratio=0.450000
# Target force: 10.000000N
# Contact model parameters: Radius=0.002000m, Depth threshold=0.000100m
# Logging frequency: 0.05 seconds
# Force plot topics: /force_plot/force_z, /force_plot/theoretical_force
# ---------------------------------------
time,phase,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,depth,surface_z,theoretical_force
0.103000,0,0.472904,0.011602,0.011713,0.005812,0.005812,0.017481,0.000000,0.000000,0.000000
0.113000,0,0.472983,-1.481634,0.603676,0.185397,0.915011,1.610602,0.000000,0.000000,0.000000
0.123000,0,0.473022,1.120843,-1.632741,-1.614072,-0.817248,2.554870,0.000000,0.000000,0.000000
0.133000,0,0.472511,0.251629,-1.251941,-3.816868,-4.333525,4.024818,0.000000,0.000000,0.000000
0.143000,0,0.471931,2.695477,1.341708,-3.001326,-4.570811,4.251321,0.000000,0.000000,0.000000
0.153000,0,0.471502,1.280773,1.289271,-1.285642,-3.388078,2.226089,0.000000,0.000000,0.000000
0.163000,0,0.471337,0.185860,0.555699,0.538759,-1.653228,0.795994,0.000000,0.000000,0.000000
0.173000,0,0.471330,-0.822317,-0.276376,1.376069,-0.702887,1.626701,0.000000,0.000000,0.000000
0.183000,0,0.471388,-0.845189,-0.280398,1.206298,-0.704223,1.499375,0.000000,0.000000,0.000000
0.193000,0,0.471367,-0.260253,0.186066,0.339097,-1.486420,0.466197,0.000000,0.000000,0.000000
0.203000,0,0.471222,0.418889,0.026756,-0.625511,-2.481311,0.753291,0.000000,0.000000,0.000000
0.213000,0,0.470997,0.728306,-0.022885,-1.176241,-3.132286,1.383654,0.000000,0.000000,0.000000
0.223000,0,0.470766,0.453687,-0.247700,-1.020835,-3.090670,1.144243,0.000000,0.000000,0.000000
0.233000,0,0.470619,0.132452,-0.408825,-0.265151,-2.403432,0.504962,0.000000,0.000000,0.000000
0.243000,0,0.470583,-0.247114,-0.566105,0.471309,-1.671972,0.776964,0.000000,0.000000,0.000000
0.253000,0,0.470619,-0.560994,-0.938022,0.820928,-1.286222,1.366939,0.000000,0.000000,0.000000
0.263000,0,0.470657,-0.632971,-1.337740,0.654724,-1.411654,1.618291,0.000000,0.000000,0.000000
0.273000,0,0.470650,-0.438986,-1.394223,0.244131,-1.802552,1.481947,0.000000,0.000000,0.000000
0.283000,0,0.470597,-0.259821,-1.351355,-0.087376,-2.137755,1.378877,0.000000,0.000000,0.000000
0.293000,0,0.470524,-0.253024,-1.314393,-0.161938,-2.228166,1.348286,0.000000,0.000000,0.000000
