# Experiment start time: 1753165974.477364 seconds
# Local time: 20250722_143254
# Control phases: 0=CALIBRATION, 4=TRAJECTORY, 5=PAUSE_AT_TARGET, 6=PROBE_DESCENT, 7=PROBE_PAUSE, 8=CIRCULAR_MOTION
# Target force: 2.000000N
# Logging frequency: real-time (no artificial limits)
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,energy_level,energy_scale_factor
1753165974.462975,8,0.479899,0.087460,0.181010,-0.027306,-0.021287,-0.632597,-485.153687,0.633544,7.454178,1.000000
1753165974.478389,8,0.479899,0.087460,0.181010,-0.027306,-0.021287,-0.632597,-485.153687,0.633544,7.454178,1.000000
1753165974.488969,8,0.479899,0.087460,0.181010,-0.031771,-0.012280,-0.629852,-485.153748,0.630772,7.454178,1.000000
1753165974.499083,8,0.479899,0.087460,0.181010,-0.031771,-0.012280,-0.629852,-485.153748,0.630772,7.454178,1.000000
1753165974.509964,8,0.479899,0.087460,0.181010,-0.031771,-0.012280,-0.629852,-485.153748,0.630772,7.454149,1.000000
1753165974.520029,8,0.479899,0.087460,0.181010,-0.031771,-0.012280,-0.629852,-485.153748,0.630772,7.454149,1.000000
1753165974.530086,8,0.479899,0.087460,0.181010,-0.031771,-0.012280,-0.629852,-485.153748,0.630772,7.454149,1.000000
1753165974.541009,8,0.479899,0.087460,0.181010,-0.017778,-0.024100,-0.651042,-485.220398,0.651730,7.454149,1.000000
1753165974.551054,8,0.479899,0.087460,0.181010,-0.017778,-0.024100,-0.651042,-485.220398,0.651730,7.454149,1.000000
1753165974.561086,8,0.479899,0.087460,0.181010,-0.017778,-0.024100,-0.651042,-485.220398,0.651730,7.454149,1.000000
1753165974.572056,8,0.479899,0.087460,0.181010,-0.017778,-0.024100,-0.651042,-485.220398,0.651730,7.454149,1.000000
1753165974.583030,8,0.479899,0.087460,0.181010,-0.033862,-0.030065,-0.676852,-485.220795,0.678365,7.454149,1.000000
1753165974.593051,8,0.479899,0.087460,0.181010,-0.033862,-0.030065,-0.676852,-485.220795,0.678365,7.454149,1.000000
1753165974.604025,8,0.479899,0.087460,0.181010,-0.033862,-0.030065,-0.676852,-485.220795,0.678365,7.454109,1.000000
1753165974.614062,8,0.479899,0.087460,0.181010,-0.033862,-0.030065,-0.676852,-485.220795,0.678365,7.454109,1.000000
1753165974.624988,8,0.479899,0.087460,0.181010,-0.033862,-0.030065,-0.676852,-485.220795,0.678365,7.454109,1.000000
1753165974.635954,8,0.479899,0.087460,0.181010,-0.011289,-0.004438,-0.665679,-485.207458,0.665789,7.454109,1.000000
1753165974.645972,8,0.479899,0.087460,0.181010,-0.011289,-0.004438,-0.665679,-485.207458,0.665789,7.454109,1.000000
1753165974.655990,8,0.479899,0.087460,0.181010,-0.011289,-0.004438,-0.665679,-485.207458,0.665789,7.454109,1.000000
1753165974.666015,8,0.479899,0.087460,0.181010,-0.011289,-0.004438,-0.665679,-485.207458,0.665789,7.454109,1.000000
1753165974.677101,8,0.479899,0.087460,0.181010,-0.016467,-0.036288,-0.645794,-485.180603,0.647022,7.454109,1.000000
1753165974.688019,8,0.479899,0.087460,0.181010,-0.016467,-0.036288,-0.645794,-485.180603,0.647022,7.454104,1.000000
1753165974.698976,8,0.479899,0.087460,0.181010,-0.016467,-0.036288,-0.645794,-485.180603,0.647022,7.454104,1.000000
1753165974.708977,8,0.479899,0.087460,0.181010,-0.016467,-0.036288,-0.645794,-485.180603,0.647022,7.454104,1.000000
1753165974.719936,8,0.479899,0.087460,0.181010,-0.016467,-0.036288,-0.645794,-485.180603,0.647022,7.454104,1.000000
1753165974.729965,8,0.479899,0.087460,0.181010,-0.005059,-0.032476,-0.663763,-485.207825,0.664576,7.454104,1.000000
1753165974.740978,8,0.479899,0.087460,0.181010,-0.005059,-0.032476,-0.663763,-485.207825,0.664576,7.454104,1.000000
1753165974.751035,8,0.479899,0.087460,0.181010,-0.005059,-0.032476,-0.663763,-485.207825,0.664576,7.454104,1.000000
1753165974.762000,8,0.479899,0.087460,0.181010,-0.005059,-0.032476,-0.663763,-485.207825,0.664576,7.454104,1.000000
1753165974.773060,8,0.479899,0.087460,0.181010,0.004590,-0.031840,-0.653002,-485.180206,0.653794,7.454104,1.000000
1753165974.783244,8,0.479899,0.087460,0.181010,0.004590,-0.031840,-0.653002,-485.180206,0.653794,7.454102,1.000000
1753165974.793974,8,0.479899,0.087460,0.181010,0.004590,-0.031840,-0.653002,-485.180206,0.653794,7.454102,1.000000
1753165974.803986,8,0.479899,0.087460,0.181010,0.004590,-0.031840,-0.653002,-485.180206,0.653794,7.454102,1.000000
1753165974.814058,8,0.479899,0.087460,0.181010,0.004590,-0.031840,-0.653002,-485.180206,0.653794,7.454102,1.000000
1753165974.824971,8,0.479899,0.087460,0.181010,-0.026670,-0.045396,-0.656670,-485.220581,0.658777,7.454102,1.000000
1753165974.835035,8,0.479899,0.087460,0.181010,-0.026670,-0.045396,-0.656670,-485.220581,0.658777,7.454102,1.000000
1753165974.845196,8,0.479899,0.087460,0.181010,-0.026670,-0.045396,-0.656670,-485.220581,0.658777,7.454073,1.000000
1753165974.855998,8,0.479899,0.087460,0.181010,-0.026670,-0.045396,-0.656670,-485.220581,0.658777,7.454073,1.000000
1753165974.866013,8,0.479899,0.087460,0.181010,-0.026670,-0.045396,-0.656670,-485.220581,0.658777,7.454073,1.000000
1753165974.877142,8,0.479899,0.087460,0.181010,-0.028488,-0.017490,-0.649566,-485.193817,0.650425,7.454038,1.000000
1753165974.887985,8,0.479899,0.087460,0.181010,-0.028488,-0.017490,-0.649566,-485.193817,0.650425,7.454038,1.000000
1753165974.898023,8,0.479899,0.087460,0.181010,-0.028488,-0.017490,-0.649566,-485.193817,0.650425,7.454038,1.000000
1753165974.908150,8,0.479899,0.087460,0.181010,-0.028488,-0.017490,-0.649566,-485.193817,0.650425,7.454038,1.000000
1753165974.918946,8,0.479899,0.087460,0.181010,-0.001532,-0.076038,-0.655809,-485.287476,0.660204,7.454038,1.000000
1753165974.929081,8,0.479899,0.087460,0.181010,-0.001532,-0.076038,-0.655809,-485.287476,0.660204,7.454038,1.000000
1753165974.940109,8,0.479899,0.087460,0.181010,-0.001532,-0.076038,-0.655809,-485.287476,0.660204,7.454038,1.000000
1753165974.950975,8,0.479899,0.087460,0.181010,-0.001532,-0.076038,-0.655809,-485.287476,0.660204,7.454038,1.000000
1753165974.961004,8,0.479899,0.087460,0.181010,-0.001532,-0.076038,-0.655809,-485.287476,0.660204,7.454038,1.000000
1753165974.972067,8,0.479899,0.087460,0.181010,0.025289,-0.026333,-0.653753,-485.180878,0.654772,7.454038,1.000000
1753165974.982957,8,0.479899,0.087460,0.181010,0.025289,-0.026333,-0.653753,-485.180878,0.654772,7.454038,1.000000
1753165974.993057,8,0.479899,0.087460,0.181010,0.025289,-0.026333,-0.653753,-485.180878,0.654772,7.454038,1.000000
1753165975.004004,8,0.479899,0.087460,0.181010,0.025289,-0.026333,-0.653753,-485.180878,0.654772,7.454038,1.000000
