time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
0.067000,0,0.306876,0.000031,0.589151,0.000000,0.000000,0.050000,0.050000,-0.084151,10.000000
0.077000,1,0.306943,0.000027,0.588879,0.000000,0.000000,1.036089,1.036089,-0.083879,10.000000
0.087000,1,0.307027,0.000035,0.588550,0.000000,0.000000,1.180117,1.180117,-0.083550,10.000000
0.097000,1,0.307118,0.000039,0.588145,0.000000,0.000000,1.333338,1.333338,-0.083145,10.000000
0.107000,1,0.307210,0.000044,0.587687,0.000000,0.000000,1.458580,1.458580,-0.082687,10.000000
0.117000,1,0.307313,0.000053,0.587170,0.000000,0.000000,1.857317,1.857317,-0.082170,10.000000
0.127000,1,0.307412,0.000054,0.586597,0.000000,0.000000,1.957902,1.957902,-0.081597,10.000000
0.137000,1,0.307518,0.000064,0.585973,0.000000,0.000000,2.053088,2.053088,-0.080973,10.000000
0.147000,1,0.307626,0.000065,0.585297,0.000000,0.000000,2.482488,2.482488,-0.080297,10.000000
0.157000,1,0.307736,0.000072,0.584584,0.000000,0.000000,2.545277,2.545277,-0.079584,10.000000
0.167000,1,0.307849,0.000074,0.583817,0.000000,0.000000,2.623151,2.623151,-0.078817,10.000000
0.177000,1,0.307961,0.000076,0.583018,0.000000,0.000000,2.672865,2.672865,-0.078018,10.000000
0.187000,1,0.308083,0.000082,0.582180,0.000000,0.000000,3.003115,3.003115,-0.077180,10.000000
0.197000,1,0.308197,0.000081,0.581305,0.000000,0.000000,3.038393,3.038393,-0.076305,10.000000
0.207000,1,0.308317,0.000088,0.580395,0.000000,0.000000,3.072957,3.072957,-0.075395,10.000000
0.217000,1,0.308436,0.000088,0.579451,0.000000,0.000000,3.444094,3.444094,-0.074451,10.000000
0.227000,1,0.308555,0.000094,0.578485,0.000000,0.000000,3.451869,3.451869,-0.073485,10.000000
0.237000,1,0.308676,0.000094,0.577480,0.000000,0.000000,3.481142,3.481142,-0.072480,10.000000
0.247000,1,0.308793,0.000096,0.576456,0.000000,0.000000,3.481577,3.481577,-0.071456,10.000000
0.257000,1,0.308918,0.000101,0.575406,0.000000,0.000000,3.766887,3.766887,-0.070406,10.000000
0.267000,1,0.309034,0.000100,0.574331,0.000000,0.000000,3.759553,3.759553,-0.069331,10.000000
0.277000,1,0.309155,0.000109,0.573234,0.000000,0.000000,3.754367,3.754367,-0.068234,10.000000
0.287000,1,0.309272,0.000107,0.572113,0.000000,0.000000,4.087216,4.087216,-0.067113,10.000000
0.297000,1,0.309389,0.000115,0.570980,0.000000,0.000000,4.058787,4.058787,-0.065980,10.000000
0.307000,1,0.309507,0.000115,0.569818,0.000000,0.000000,4.056449,4.056449,-0.064818,10.000000
0.317000,1,0.309619,0.000119,0.568647,0.000000,0.000000,4.024454,4.024454,-0.063647,10.000000
0.327000,1,0.309738,0.000126,0.567458,0.000000,0.000000,4.280096,4.280096,-0.062458,10.000000
0.337000,1,0.309847,0.000125,0.566251,0.000000,0.000000,4.244774,4.244774,-0.061251,10.000000
0.347000,1,0.309959,0.000141,0.565030,0.000000,0.000000,4.213341,4.213341,-0.060030,10.000000
0.357000,1,0.310068,0.000141,0.563792,0.000000,0.000000,4.520915,4.520915,-0.058792,10.000000
0.367000,1,0.310175,0.000153,0.562550,0.000000,0.000000,4.468404,4.468404,-0.057550,10.000000
0.377000,1,0.310281,0.000161,0.561284,0.000000,0.000000,4.445483,4.445483,-0.056284,10.000000
0.387000,1,0.310383,0.000179,0.560016,0.000000,0.000000,4.392011,4.392011,-0.055016,10.000000
0.397000,1,0.310489,0.000109,0.558735,0.000000,0.000000,4.627793,4.627793,-0.053735,10.000000
0.407000,1,0.310586,0.000122,0.557442,0.000000,0.000000,4.574068,4.574068,-0.052442,10.000000
0.417000,1,0.310684,0.000122,0.556140,0.000000,0.000000,4.525227,4.525227,-0.051140,10.000000
0.427000,1,0.310779,0.000135,0.554826,0.000000,0.000000,4.815755,4.815755,-0.049826,10.000000
0.437000,1,0.310871,0.000146,0.553512,0.000000,0.000000,4.747275,4.747275,-0.048512,10.000000
0.447000,1,0.310963,0.000152,0.552179,0.000000,0.000000,4.710834,4.710834,-0.047179,10.000000
0.457000,1,0.311048,0.000151,0.550846,0.000000,0.000000,4.643281,4.643281,-0.045846,10.000000
0.467000,1,0.311139,0.000165,0.549506,0.000000,0.000000,4.865452,4.865452,-0.044506,10.000000
0.477000,1,0.311219,0.000170,0.548157,0.000000,0.000000,4.799591,4.799591,-0.043157,10.000000
0.487000,1,0.311301,0.000172,0.546802,0.000000,0.000000,4.739097,4.739097,-0.041802,10.000000
0.497000,1,0.311379,0.000180,0.545438,0.000000,0.000000,5.018023,5.018023,-0.040438,10.000000
