# 实验开始时间: 0.056000 秒
# 本地时间: 20250506_151001
# 控制阶段说明: 0=APPROACH, 1=CONTACT, 2=CIRCULAR
# 软块物理属性: 杨氏模量=1000.000000Pa, 泊松比=0.450000
# 目标力: 10.000000N
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
0.063000,0,0.306863,0.000004,0.589241,0.000000,0.000000,0.050000,0.050000,-0.084241,10.000000
0.073000,1,0.306925,0.000023,0.588976,0.000000,0.000000,0.934751,0.934751,-0.083976,10.000000
0.083000,1,0.307007,0.000029,0.588636,0.000000,0.000000,1.101344,1.101344,-0.083636,10.000000
0.093000,1,0.307091,0.000037,0.588240,0.000000,0.000000,1.240232,1.240232,-0.083240,10.000000
0.103000,1,0.307188,0.000049,0.587781,0.000000,0.000000,1.651515,1.651515,-0.082781,10.000000
0.113000,1,0.307280,0.000054,0.587263,0.000000,0.000000,1.763830,1.763830,-0.082263,10.000000
0.123000,1,0.307380,0.000065,0.586690,0.000000,0.000000,1.870193,1.870193,-0.081690,10.000000
0.133000,1,0.307482,0.000068,0.586063,0.000000,0.000000,2.309813,2.309813,-0.081063,10.000000
0.143000,1,0.307587,0.000078,0.585395,0.000000,0.000000,2.382565,2.382565,-0.080395,10.000000
0.153000,1,0.307696,0.000081,0.584672,0.000000,0.000000,2.469414,2.469414,-0.079672,10.000000
0.163000,1,0.307804,0.000083,0.583914,0.000000,0.000000,2.528021,2.528021,-0.078914,10.000000
0.173000,1,0.307921,0.000092,0.583114,0.000000,0.000000,2.866145,2.866145,-0.078114,10.000000
0.183000,1,0.308032,0.000092,0.582274,0.000000,0.000000,2.909143,2.909143,-0.077274,10.000000
0.193000,1,0.308148,0.000099,0.581398,0.000000,0.000000,2.951045,2.951045,-0.076398,10.000000
0.203000,1,0.308264,0.000099,0.580486,0.000000,0.000000,3.328829,3.328829,-0.075486,10.000000
0.213000,1,0.308381,0.000106,0.579551,0.000000,0.000000,3.343171,3.343171,-0.074551,10.000000
0.223000,1,0.308499,0.000107,0.578574,0.000000,0.000000,3.378297,3.378297,-0.073574,10.000000
